TRY,source,STATUS_CODE,title,summary,date,link,type,ERROR,TIME
1,ria,200,100,0,100,100,100,,13:31.9
1,tass,200,100,97,100,100,100,,13:31.9
1,rosbalt,200,100,100,100,100,100,,13:31.9
1,ura,200,170,170,170,170,0,,13:31.9
1,mail,200,20,20,20,20,20,,13:31.9
1,regnum,200,100,100,100,100,96,,13:31.9
1,izvestia,403,,,,,,,13:31.9
1,lenta,200,200,200,200,200,200,,13:31.9
1,kp,200,200,200,200,200,200,,13:31.9
1,interfax,200,25,25,25,25,25,,13:31.9
1,vedomosti,200,200,200,200,200,190,,13:31.9
1,aif,200,301,301,301,301,301,,13:31.9
1,rg,200,100,100,100,100,0,,13:31.9
1,argumenti,200,30,30,30,30,30,,13:31.9
1,pravda,200,20,20,20,20,20,,13:31.9
1,fontanka,200,30,30,30,30,30,,13:31.9
1,rbc,200,30,30,30,30,30,,13:31.9
2,izvestia,403,,,,,,,13:31.9
3,izvestia,403,,,,,,,13:31.9
1,ria,200,100,0,100,100,100,,2023-05-27 02:02:03.743558
1,tass,200,100,96,100,100,100,,2023-05-27 02:02:03.743560
1,rosbalt,200,100,100,100,100,100,,2023-05-27 02:02:03.743561
1,ura,200,170,170,170,170,0,,2023-05-27 02:02:03.743562
1,mail,200,20,20,20,20,20,,2023-05-27 02:02:03.743564
1,regnum,200,100,100,100,100,97,,2023-05-27 02:02:03.743565
1,izvestia,403,,,,,,,2023-05-27 02:02:03.743566
1,lenta,200,200,200,200,200,200,,2023-05-27 02:02:03.743567
1,kp,200,200,200,200,200,200,,2023-05-27 02:02:03.743568
1,interfax,200,25,25,25,25,25,,2023-05-27 02:02:03.743570
1,vedomosti,200,200,200,200,200,190,,2023-05-27 02:02:03.743571
1,aif,200,301,301,301,301,301,,2023-05-27 02:02:03.743572
1,rg,200,100,100,100,100,0,,2023-05-27 02:02:03.743573
1,argumenti,200,30,30,30,30,30,,2023-05-27 02:02:03.743574
1,pravda,200,20,20,20,20,20,,2023-05-27 02:02:03.743576
1,fontanka,200,30,30,30,30,30,,2023-05-27 02:02:03.743577
1,rbc,200,30,30,30,30,30,,2023-05-27 02:02:03.743578
2,izvestia,403,,,,,,,2023-05-27 02:02:03.743579
3,izvestia,403,,,,,,,2023-05-27 02:02:03.743580
1,ria,200,100,0,100,100,100,,2023-05-27 04:02:04.705947
1,tass,200,100,98,100,100,100,,2023-05-27 04:02:04.705954
1,rosbalt,200,100,100,100,100,100,,2023-05-27 04:02:04.705957
1,ura,200,170,170,170,170,0,,2023-05-27 04:02:04.705959
1,mail,200,20,20,20,20,20,,2023-05-27 04:02:04.705962
1,regnum,200,100,100,100,100,97,,2023-05-27 04:02:04.705965
1,izvestia,403,,,,,,,2023-05-27 04:02:04.705968
