source,STATUS_CODE,title,summary,date,link,type,ERROR,TIME
ria,200,99,0,99,99,99,,2023-05-24 01:01:06.089812
tass,200,100,99,100,100,100,,2023-05-24 01:01:06.089817
rosbalt,200,100,100,100,100,100,,2023-05-24 01:01:06.089819
ura,200,170,170,170,170,0,,2023-05-24 01:01:06.089822
mail,200,20,20,20,20,20,,2023-05-24 01:01:06.089825
regnum,200,100,100,100,100,100,,2023-05-24 01:01:06.089827
izvestia,403,,,,,,,2023-05-24 01:01:06.089830
lenta,200,200,200,200,200,200,,2023-05-24 01:01:06.089832
kp,,,,,,,"HTTPSConnectionPool(host='www.kp.ru', port=443): Read timed out. (read timeout=5)",2023-05-24 01:01:06.089835
tvrain,,,,,,,"HTTPSConnectionPool(host='tvrain.tv', port=443): Read timed out. (read timeout=5)",2023-05-24 01:01:06.089837
mediazona,,,,,,,"HTTPSConnectionPool(host='zona.media', port=443): Read timed out. (read timeout=5)",2023-05-24 01:01:06.089840
interfax,200,25,25,25,25,25,,2023-05-24 01:01:06.089842
vedomosti,200,200,200,200,200,188,,2023-05-24 01:01:06.089845
aif,200,277,277,277,277,277,,2023-05-24 01:01:06.089847
rg,200,100,100,100,100,0,,2023-05-24 01:01:06.089850
argumenti,200,30,30,30,30,30,,2023-05-24 01:01:06.089852
pravda,200,20,20,20,20,20,,2023-05-24 01:01:06.089854
svoboda,,,,,,,"HTTPSConnectionPool(host='www.svoboda.org', port=443): Read timed out. (read timeout=5)",2023-05-24 01:01:06.089857
currenttime,,,,,,,"HTTPSConnectionPool(host='www.currenttime.tv', port=443): Read timed out. (read timeout=5)",2023-05-24 01:01:06.089859
meduza,,,,,,,"HTTPSConnectionPool(host='meduza.io', port=443): Read timed out. (read timeout=5)",2023-05-24 01:01:06.089861
fontanka,200,30,30,30,30,30,,2023-05-24 01:01:06.089864
rbc,200,30,30,30,30,30,,2023-05-24 01:01:06.089866
ria,200,99,0,99,99,99,,2023-05-24 02:01:04.295601
tass,200,100,99,100,100,100,,2023-05-24 02:01:04.295605
rosbalt,200,100,100,100,100,100,,2023-05-24 02:01:04.295608
ura,200,170,170,170,170,0,,2023-05-24 02:01:04.295611
mail,200,20,20,20,20,20,,2023-05-24 02:01:04.295613
regnum,200,100,100,100,100,100,,2023-05-24 02:01:04.295615
izvestia,403,,,,,,,2023-05-24 02:01:04.295618
lenta,200,200,200,200,200,200,,2023-05-24 02:01:04.295620
kp,200,200,200,200,200,200,,2023-05-24 02:01:04.295623
tvrain,,,,,,,"HTTPSConnectionPool(host='tvrain.tv', port=443): Read timed out. (read timeout=5)",2023-05-24 02:01:04.295625
mediazona,,,,,,,"HTTPSConnectionPool(host='zona.media', port=443): Read timed out. (read timeout=5)",2023-05-24 02:01:04.295628
interfax,200,25,25,25,25,25,,2023-05-24 02:01:04.295630
vedomosti,200,200,200,200,200,190,,2023-05-24 02:01:04.295633
aif,200,278,278,278,278,278,,2023-05-24 02:01:04.295635
rg,200,100,100,100,100,0,,2023-05-24 02:01:04.295637
argumenti,200,30,30,30,30,30,,2023-05-24 02:01:04.295640
pravda,200,20,20,20,20,20,,2023-05-24 02:01:04.295642
svoboda,,,,,,,"HTTPSConnectionPool(host='www.svoboda.org', port=443): Read timed out. (read timeout=5)",2023-05-24 02:01:04.295645
currenttime,,,,,,,"HTTPSConnectionPool(host='www.currenttime.tv', port=443): Read timed out. (read timeout=5)",2023-05-24 02:01:04.295647
meduza,,,,,,,"HTTPSConnectionPool(host='meduza.io', port=443): Read timed out. (read timeout=5)",2023-05-24 02:01:04.295650
fontanka,200,30,30,30,30,30,,2023-05-24 02:01:04.295652
rbc,200,30,30,30,30,30,,2023-05-24 02:01:04.295654
ria,200,99,0,99,99,99,,2023-05-24 04:01:04.297626
tass,200,100,98,100,100,100,,2023-05-24 04:01:04.297631
rosbalt,200,100,100,100,100,100,,2023-05-24 04:01:04.297635
ura,200,170,170,170,170,0,,2023-05-24 04:01:04.297637
mail,200,20,20,20,20,20,,2023-05-24 04:01:04.297640
regnum,200,100,100,100,100,100,,2023-05-24 04:01:04.297643
izvestia,403,,,,,,,2023-05-24 04:01:04.297646
lenta,200,200,200,200,200,200,,2023-05-24 04:01:04.297649
kp,200,200,200,200,200,200,,2023-05-24 04:01:04.297652
tvrain,,,,,,,"HTTPSConnectionPool(host='tvrain.tv', port=443): Read timed out. (read timeout=5)",2023-05-24 04:01:04.297655
mediazona,,,,,,,"HTTPSConnectionPool(host='zona.media', port=443): Read timed out. (read timeout=5)",2023-05-24 04:01:04.297657
interfax,200,25,25,25,25,25,,2023-05-24 04:01:04.297660
vedomosti,200,200,200,200,200,189,,2023-05-24 04:01:04.297663
aif,200,277,277,277,277,277,,2023-05-24 04:01:04.297665
rg,200,100,100,100,100,0,,2023-05-24 04:01:04.297668
argumenti,200,30,30,30,30,30,,2023-05-24 04:01:04.297671
pravda,200,20,20,20,20,20,,2023-05-24 04:01:04.297673
svoboda,,,,,,,"HTTPSConnectionPool(host='www.svoboda.org', port=443): Read timed out. (read timeout=5)",2023-05-24 04:01:04.297676
currenttime,,,,,,,"HTTPSConnectionPool(host='www.currenttime.tv', port=443): Read timed out. (read timeout=5)",2023-05-24 04:01:04.297679
meduza,,,,,,,"HTTPSConnectionPool(host='meduza.io', port=443): Read timed out. (read timeout=5)",2023-05-24 04:01:04.297682
fontanka,200,30,30,30,30,30,,2023-05-24 04:01:04.297684
rbc,200,30,30,30,30,30,,2023-05-24 04:01:04.297687
ria,200,99,0,99,99,99,,2023-05-24 06:01:05.355788
tass,200,99,98,99,99,99,,2023-05-24 06:01:05.355794
rosbalt,200,100,100,100,100,100,,2023-05-24 06:01:05.355797
ura,200,170,170,170,170,0,,2023-05-24 06:01:05.355800
mail,200,20,20,20,20,20,,2023-05-24 06:01:05.355803
regnum,200,100,100,100,100,100,,2023-05-24 06:01:05.355805
izvestia,403,,,,,,,2023-05-24 06:01:05.355808
lenta,200,200,200,200,200,200,,2023-05-24 06:01:05.355811
kp,,,,,,,"HTTPSConnectionPool(host='www.kp.ru', port=443): Read timed out. (read timeout=5)",2023-05-24 06:01:05.355814
tvrain,,,,,,,"HTTPSConnectionPool(host='tvrain.tv', port=443): Read timed out. (read timeout=5)",2023-05-24 06:01:05.355816
mediazona,,,,,,,"HTTPSConnectionPool(host='zona.media', port=443): Read timed out. (read timeout=5)",2023-05-24 06:01:05.355819
interfax,200,25,25,25,25,25,,2023-05-24 06:01:05.355822
vedomosti,200,200,200,200,200,189,,2023-05-24 06:01:05.355824
aif,200,277,277,277,277,277,,2023-05-24 06:01:05.355827
rg,200,100,100,100,100,0,,2023-05-24 06:01:05.355829
argumenti,200,30,30,30,30,30,,2023-05-24 06:01:05.355832
pravda,200,20,20,20,20,20,,2023-05-24 06:01:05.355835
svoboda,,,,,,,"HTTPSConnectionPool(host='www.svoboda.org', port=443): Read timed out. (read timeout=5)",2023-05-24 06:01:05.355838
currenttime,,,,,,,"HTTPSConnectionPool(host='www.currenttime.tv', port=443): Read timed out. (read timeout=5)",2023-05-24 06:01:05.355840
meduza,,,,,,,"HTTPSConnectionPool(host='meduza.io', port=443): Read timed out. (read timeout=5)",2023-05-24 06:01:05.355843
fontanka,200,30,30,30,30,30,,2023-05-24 06:01:05.355845
rbc,200,30,30,30,30,30,,2023-05-24 06:01:05.355848
ria,200,99,0,99,99,99,,2023-05-24 08:01:08.302012
tass,200,99,98,99,99,99,,2023-05-24 08:01:08.302017
rosbalt,200,100,100,100,100,100,,2023-05-24 08:01:08.302020
ura,200,170,170,170,170,0,,2023-05-24 08:01:08.302023
mail,200,20,20,20,20,20,,2023-05-24 08:01:08.302026
regnum,200,100,100,100,100,100,,2023-05-24 08:01:08.302028
izvestia,403,,,,,,,2023-05-24 08:01:08.302031
lenta,200,200,200,200,200,200,,2023-05-24 08:01:08.302034
kp,200,200,200,200,200,200,,2023-05-24 08:01:08.302037
tvrain,,,,,,,"HTTPSConnectionPool(host='tvrain.tv', port=443): Read timed out. (read timeout=5)",2023-05-24 08:01:08.302040
mediazona,,,,,,,"HTTPSConnectionPool(host='zona.media', port=443): Read timed out. (read timeout=5)",2023-05-24 08:01:08.302042
interfax,200,25,25,25,25,25,,2023-05-24 08:01:08.302045
vedomosti,200,200,200,200,200,189,,2023-05-24 08:01:08.302048
