title,summary,date,link,type,source,date_parsed
"Помилованный Протасевич заявил, что Минск преуспел в контрпропаганде",,2023-5-23,https://ria.ru/20230523/protasevich-1873754159.html,Лента новостей,ria,2023-05-23 23:53:38.156933
Киев сообщил о старте миссии МВФ по пересмотру финансирования страны,,2023-5-23,https://ria.ru/20230523/finansirovanie-1873754023.html,Лента новостей,ria,2023-05-23 23:53:38.156967
Захарова сравнила Гершковича и Ассанжа,,2023-5-23,https://ria.ru/20230523/gershkovich-1873753839.html,Лента новостей,ria,2023-05-23 23:53:38.156969
Россия подготовила проект резолюции по работе с ВОЗ на Украине,,2023-5-23,https://ria.ru/20230523/proekt-1873753098.html,Лента новостей,ria,2023-05-23 23:53:38.156970
США обеспокоены решением суда оставить в СИЗО журналиста Гершковича,,2023-5-23,https://ria.ru/20230523/gershkovich-1873752832.html,Лента новостей,ria,2023-05-23 23:53:38.156971
Макрон приедет в Молдавию на саммит Европейского политического сообщества,,2023-5-23,https://ria.ru/20230523/makron-1873751784.html,Лента новостей,ria,2023-05-23 23:53:38.156972
Два человека погибли при падении параплана в Гатчине,,2023-5-23,https://ria.ru/20230523/paraplan-1873751587.html,Лента новостей,ria,2023-05-23 23:53:38.156973
Суд по делу Трампа о фальсификации документов начнут в марте 2024 года,,2023-5-23,https://ria.ru/20230523/trump-1873751359.html,Лента новостей,ria,2023-05-23 23:53:38.156974
"В Нижнем Тагиле полиция спасла пса, над которым издевался стример",,2023-5-23,https://ria.ru/20230523/strimer-1873751209.html,Лента новостей,ria,2023-05-23 23:53:38.156976
В Госдуму внесли проект о развитии виноделия и винного туризма в России,,2023-5-23,https://ria.ru/20230523/proekt-1873750818.html,Лента новостей,ria,2023-05-23 23:53:38.156977
На Украине заподозрили партию Зеленского в нарушении закона,,2023-5-23,https://ria.ru/20230523/ukraina-1873750617.html,Лента новостей,ria,2023-05-23 23:53:38.156978
"Запад навязывает Республике Сербской выгодные ему решения, заявил Додик",,2023-5-23,https://ria.ru/20230523/serbskaya-1873750087.html,Лента новостей,ria,2023-05-23 23:53:38.156979
Депутаты Гагаузии планируют в мае обсудить статус автономии,,2023-5-23,https://ria.ru/20230523/gagauziya-1873749812.html,Лента новостей,ria,2023-05-23 23:53:38.156980
Госдеп прокомментировал атаку украинской ДРГ в Белгородской области,,2023-5-23,https://ria.ru/20230523/ataka-1873749346.html,Лента новостей,ria,2023-05-23 23:53:38.156981
"Спецоперация, 23 мая: разгром украинских диверсантов",,2023-5-23,https://ria.ru/20230523/spetsoperatsiya-1873746552.html,Лента новостей,ria,2023-05-23 23:53:38.156982
В Коми двое рабочих погибли при откачке вод,,2023-5-23,https://ria.ru/20230523/rabochie-1873749002.html,Лента новостей,ria,2023-05-23 23:53:38.156983
ЕС намерен помочь Молдавии закупить запасы газа для отопительного сезона,,2023-5-23,https://ria.ru/20230523/gas-1873748834.html,Лента новостей,ria,2023-05-23 23:53:38.156985
Жители ряда обстрелянных поселений Белгородской области вернулись домой,,2023-5-23,https://ria.ru/20230523/belgorod-1873748335.html,Лента новостей,ria,2023-05-23 23:53:38.156986
"""Проигнорировал военных"". СМИ назвали опасную ошибку Зеленского",,2023-5-23,https://ria.ru/20230523/zelenskiy-1873747981.html,Лента новостей,ria,2023-05-23 23:53:38.156987
Фальков назвал наиболее востребованную для поступления специальность,,2023-5-23,https://ria.ru/20230523/ucheba-1873747697.html,Лента новостей,ria,2023-05-23 23:53:38.156988
"США никогда не окажутся в состоянии дефолта, заявили в Белом доме",,2023-5-23,https://ria.ru/20230523/defolt-1873747437.html,Лента новостей,ria,2023-05-23 23:53:38.156989
Фальков рассказал о новой системе высшего образования,,2023-5-23,https://ria.ru/20230523/obrazovanie-1873746434.html,Лента новостей,ria,2023-05-23 23:53:38.156990
Пентагон сделал заявление после атаки ДРГ в Белгородской области,,2023-5-23,https://ria.ru/20230523/oruzhie-1873745502.html,Лента новостей,ria,2023-05-23 23:53:38.156991
В США прокомментировали инцидент с бомбардировщиками на границе с Россией,,2023-5-23,https://ria.ru/20230523/intsidet-1873745160.html,Лента новостей,ria,2023-05-23 23:53:38.156993
"Поставки F-16 не предназначены для предстоящих наступлений, заявил Пентагон",,2023-5-23,https://ria.ru/20230523/istrebiteli-1873743693.html,Лента новостей,ria,2023-05-23 23:53:38.156994
Правозащитники на фоне скандала с Wildberries создали горячую линию,,2023-5-23,https://ria.ru/20230523/liniya-1873741897.html,Лента новостей,ria,2023-05-23 23:53:38.156995
"Лукашенко заявил, что умирать не собирается",,2023-5-23,https://ria.ru/20230523/lukashenko-1873740699.html,Лента новостей,ria,2023-05-23 23:53:38.156996
"""Уралхим"" не исключил покупку активов уходящих из России зернотрейдеров",,2023-5-23,https://ria.ru/20230523/uralkhim-1873740479.html,Лента новостей,ria,2023-05-23 23:53:38.156997
В Израиле назначили нового посла в России,,2023-5-23,https://ria.ru/20230523/posol-1873739728.html,Лента новостей,ria,2023-05-23 23:53:38.156998
