title,summary,date,link,type,source,date_parsed
Власти приграничных областей России сообщают об обстрелах,Также был нанесён удар по Бердянску,2023-5-27,https://www.svoboda.org/a/32430619.html,Новости,svoboda,2023-05-27 18:02:24.495728
"Не хотите Путина, получите Пригожина. ""Грани времени"" с Мумином Шакировым. Эфир в 19:05",Мумин Шакиров и его гости подводят итоги 21-й недели 2023 года,2023-5-27,https://www.svoboda.org/a/ne-hotite-putina-poluchite-prigozhina-grani-vremeni-s-muminom-shakirovym-efir-v-19-05/32430497.html,Грани времени,svoboda,2023-05-27 18:02:24.495737
"Председателя совета РПЦ по искусству сняли с должности из-за ""Троицы""","Утверждается, что он препятствовал передаче ""Троицы"" Рублева в храм Христа Спасителя",2023-5-27,https://www.svoboda.org/a/predsedatelya-komissii-rpts-po-iskusstvu-snyali-s-dolzhnosti/32430520.html,Новости,svoboda,2023-05-27 18:02:24.495739
"""Хочется сказать украинцам, что в России не все Z-повёрнутые""",Борьба Алипат Султанбеговой,2023-5-27,https://www.svoboda.org/a/hochetsya-skazatj-ukraintsam-chto-v-rossii-ne-vse-z-povyornutye-/32430231.html,Политика,svoboda,2023-05-27 18:02:24.495740
Подозреваемого в поджоге Корана доставили в СИЗО в Чечне,"У здания СИЗО его встретили ""возмущенные жители региона""",2023-5-27,https://www.svoboda.org/a/podozrevaemogo-v-podzhoge-korana-dostavili-v-sizo-v-chechne/32430451.html,Новости,svoboda,2023-05-27 18:02:24.495741
Украина запросила у Германии ракеты Taurus дальностью до 500 км,"Сколько именно ракет запрошено, не уточняется",2023-5-27,https://www.svoboda.org/a/ukraina-zaprosila-u-germanii-rakety-taurus-daljnostjyu-do-500-km/32430396.html,Новости,svoboda,2023-05-27 18:02:24.495742
"Борис Зимин: ""Боюсь, что негодяи уйдут от ответственности""","Борис Зимин – российский предприниматель и общественный деятель, меценат. Соучредитель фонда Zimin Foundation, поддерживающего российские некоммерческие просветительские проекты в сфере образования, защиты прав человека и свободы слова, а также исследований в области естественных наук). Сын основателя компании ""Вымпел-Коммуникации"" (торговая марка ""Билайн"") Дмитрия Зимина (1933–2021).


С 2011 года Борис Зимин – основной публичный спонсор Алексея Навального и Фонда борьбы с коррупцией, в 2020 году оплачивал экстренную эвакуацию Навального из России в Берлин. Оказывает финансовую поддержку политику Илье Яшину и другим политзаключенным. После начала полномасштабной военной агрессии фонд Zimin Foundation открыл несколько программ помощи беженцам из Украины и России, предназначенных для учёных, студентов и журналистов. Член Антивоенного комитета России и Российского комитета действия, участник совета директоров фонда Бориса Немцова.


В сентябре 2022 года Министерство юстиции РФ внесло Зимина в реестр физических лиц – ""иностранных агентов"", в начале 2023-го он объявлен российскими властями в розыск по обвинению в финансовых нарушениях. Зимин уверен, что его преследуют по политическим мотивам. Уехал из России в 2004 году. Корреспондент ""Свободы"" встретился с Зиминым в Берлине.


– Вы уже некоторое время находитесь в Берлине. У вас здесь что-то новое организуется?




– Нет. Я здесь образовался сейчас достаточно случайно, я жил в разных местах, например на Кипре, в Израиле, и в Берлине я не живу, но появляюсь здесь по некоторым личным причинам, а деятельность нашего фонда не связана с местом, где я, к примеру, лечусь или проживаю. На новые проекты просто нет сейчас денег. Наши старинные проекты, например, ""Просветитель"" или ""Редколлегия"", продолжаются, но случилась война, и мы сейчас много тратим на беженцев, на помощь Украине и украинцам, как и на помощь российским беженцам.




– Здесь в Берлине оказалось немало уехавших из России российских журналистов, и их положение пока достаточно проблематично, хотя все они активны. Входит ли вообще в ваши планы и намерения, даже если нет денег, понять, что именно следует поддерживать в медиа, которые оказались за пределами России? Каковы ваши ценностные ориентиры, личностные ориентиры, если они есть?

 




– Я не думаю, что нужно поддерживать медиа. Потому что если  журналистику не поддерживает публика, значит, она не востребована. И это было бы очень плохо, но мне всё же кажется, что спрос есть, он может меняться, но так или иначе подменять собою спрос, конечно, не стоит. Хорошо, когда на рынке есть средства и менеджеры, способные начинать новые проекты, но вряд ли будет правильно постоянно финансировать убыточные медиа, подменяя собой рынок, подменяя публику. Во всяком случае, это не к нам. И вообще не к нам, поскольку ни я, ни Zimin Foundation не являемся медиаменеджерами и не специализируемся на таких инвестициях. Бывали, правда, исключения, но на то они и исключения.


Другое дело – поддержка журналистского сообщества, журналистики вообще, забота о качестве среды. Уже упомянутый проект ""Редколлегия"" как раз об этом. Начиналось всё с достаточно узкой задачи (поддержать финансово журналистов-расследователей), а продолжилось разговором о качестве журналистской работы, обсуждением стандартов профессии и много чем ещё интересным, на что рынок и публика вряд ли охотно дали бы денег, и поэтому мы (Zimin Foundation) ценим и проект, и своё участие в нём. А вот как, для кого и зачем делать конкретный медийный проект – это должны понимать сами журналисты и медиаменеджеры.



Думаю, поймут – все опытные и активные, хотя ситуация очень сложная: дело не только в том, что российские власти прикладывают много усилий, чтобы отсечь подведомственное им население от информации, забить всё своей пропагандой. Если ты находишься в зарубежье, то понемногу, но теряешь связи и понимание, что происходит ""там"", а если ещё и думаешь только ""туда"" и о том, что ""там"", то постепенно отрываешься от окружающей действительности, живёшь во всё менее проницаемом bubble’е. С другой стороны, в Берлине, в Европе вообще-то хватает русскоязычной публики. А возможно, надо говорить уже не только по-русски и жить хотя бы в частности интересами окружающих? Не знаю.



–Как вы видите время после Путина, как будет (если будет) выздоравливать Россия? В Германии после войны было внешнее правление. В России ему взяться вроде неоткуда. Люди массово зомбированы. Что, остается ждать, когда сменятся поколения?



– Во-первых, да. И процесс будет долгим. Но, кроме примера Германии, есть и другие модели, например Чили, Аргентины или Испании... И в Германии денацификация (процесс внутренний, его невозможно провести ""сверху"", отсылаю тут к книге Николая Эппле) началась очень не сразу после войны.



– Да, она началась после поимки израильтянами Адольфа Эйхмана в 1960 году, когда после публикаций в прессе дети и внуки в Германии начали спрашивать бабушек и дедушек, да и родителей: а где вы были в то время? До того была всеобщая летаргия, отраженная, например, в некоторых фильмах Фассбиндера.



– Да, вы правы, предстоит процесс поколенческий, он когда-нибудь придет... И ещё я верю в механизмы самоочищения. Это как в природе, например, когда в какой-нибудь реке зараза куда-то уходит, исчезает... Но это занимает много времени. Процесс десталинизации ещё не прошел, а без него невозможно депутинизацию проводить. Я тоже не верю, что Москва будет оккупирована... Да даже если и будет оккупирована, то все равно это не слишком поможет. Денацификация и депутинизация или ""де-"" ещё что-нибудь такое – процесс внутренний, нужен свой Томас Манн, нужны люди, которые об этом думают.


Осложнение – наверное, уникальное – для России состоит в том, что, на мой взгляд, Россия сейчас самая одинокая страна. Сочувствующих нет. Не только буквально все соседи очень плохо относятся к России, но не предвидится и победителя, который был бы заинтересован в восстановлении побеждённого соперника. Ни у одной страны такого, мне кажется, не было. У Японии по сию пору не так всё просто с ближайшими соседями, но Япония всё же уважаемый член международного сообщества не в последнюю очередь благодаря своему победителю. У России всё гораздо хуже, я не вижу союзников, друзей, кто подставит плечо... И это осложнение значительно увеличит время, которое должно пройти...



– Были ли у вас ранее контакты с людьми, которые сегодня активно присутствуют в российской власти?




– Скорее нет, но вот был Юра Борисов, который взлетел на достаточно высокие этажи власти, ныне он заведует Роскосмосом, а раньше был ещё более крупным деятелем, вице-премьером по вооружениям. Его я помню. Но последний раз я его видел и разговаривал с ним точно больше 10 лет назад. У него до этой карьеры был бизнес. Ну вот человек выбрал себе государственную стезю... Вряд ли он главный злодей там. Но он, к сожалению, сотрудничал и сотрудничает с Путиным, с его режимом и, конечно, будет так или иначе отвечать. Вообще, некоторые общественные задачи можно решить только на государственном этаже (правительство, Центробанк), и вообще же это и почётно, и профессионально увлекательно. Беда в том, что российские властные этажи захвачены преступниками и моральными уродами.



– Верите ли вы в то, что кто-то, кто сегодня во власти в России, способен, нет, не переобуться после Путина, а способен в своем сознании переформатировать свое понимание будущего и блага для России и способен ей профессионально послужить? Не Путину, не по присяге новому царю, а иначе, чтобы дать государству что-нибудь для его выздоровления. Или там в российских верхах уже никого, кроме прожженных циников, нет?



– У меня два соображения по этому поводу. Первое, что пока мы будем воспринимать государство как что-то, имеющее чуть ли не сакральный смысл и сознание, ничего хорошего не будет. Пока мы не начнём смеяться над словосочетанием ""государственные интересы"", ничего мы не построим. Не может быть у государства никаких интересов. Государство – это совокупность правил, процедур и бюрократии, подчинённой законам и служащей общественным, а не ""государственным"" интересам, у него не может быть ни собственной воли, ни собственных интересов. Государство должно быть подчинено обществу, а не наоборот.



А другое – это то, что мы наверняка увидим значительную часть нынешней бюрократии на службе новому режиму (когда и если). Всех не репрессируют, не денацифицируют, а может быть, до этого и вообще не дойдет, и скорее всего, многие из ""бывших"" примут активное участие в построении новой России, которая не будет прекрасной ещё долго, и они будут, конечно, представлять в России какую-то серьезную силу. Просто потому что неоткуда взять столько других чиновников, полицейских, судей.



– В Германии после войны никаких ""других"" людей не было...



– И здесь не будет. К сожалению, хотя хочется другого, негодяи в общем-то не будут наказаны. Как сталинские палачи в основном умерли в своей постели, окруженные внуками и почетом. В основном. Не все, но в основном, так и нынешние. Отомстить им не удастся, как никогда подобное ещё никому не удавалось. Как удалось уйти от ответственности многим нацистским деятелям, кроме верхушки, которой досталось, конечно, но это малая часть преступников. В общем, на месть рассчитывать не надо. Местью жить невыгодно, вредно.



– В ваших размышлениях нет никакого позитива...


– Позитив? Всё будет, только нужно время. Сейчас главная, первейшая задача, и то, на что можно повлиять, – ближайшее и дальнейшее будущее Украины, которой надо помогать, прежде всего в военном отношении, что, впрочем, уже происходит в неслыханном и (для меня по крайней мере) неожиданном объёме. Но не только это – во всех смыслах (в гуманитарном, социальном и других) у Украины огромное количество проблем, включая коррупцию (это, наверное, ""наследственное"")... Но сейчас первая проблема – бомбы, убивающие украинцев, и войска захватчиков на территории Украины. Нам всем нужно, чтобы Украина одержала военную победу. Вернула бы своих детей, пленных, беженцев. Ну а потом все остальное...



– Насколько вероятен в вашем воображении сценарий распада России?




– Не очень. Безусловно, есть центробежные стремления, но как капли воды принимают форму шара, так есть и какие-то физические, энергетические факторы, по которым России, всем её частям выгодно быть вместе. И транспортная система, и финансовая система, система бюджетов (""спасибо"" Алексею Кудрину), и интересы торговли, и привычки – всё заточено на единство. В лучшем случае Россия переучредится как всамделишная федерация, когда регионы определяют полномочия ""центра"", а не как сейчас. В худшем – центробежные силы возобладают, страна рассыплется вследствие какого-нибудь эпичного идиотизма в ""центре"". Но у России всё ещё достаточно мощная ""батарейка"" (нефть, население, остатки советского наследия), которая может позволить ещё долго существовать в режиме Мордора, угасающего, но всё ещё способного причинять вред и соседям, и (в основном) своему населению.



– Вы давно поддерживаете Алексея Навального. Видите ли вы, оглядываясь назад, ошибки в вашей общественной и, может быть, невольно политической деятельности?



– Если бы в свое время не только Алексей Навальный, Борис Немцов и ещё небольшое количество смелых людей, но все остальные вели бы себя немножко по-другому, может быть, войны бы не было. Если бы в том числе мы, фонд ""Династия"", не твердили себе, что мы вне политики, и не избегали бы важных поступков, дорожа своими проектами, беспокоясь за своих грантополучателей и сотрудников, если б не боялись осложнений, того, что нас обвинят в политической деятельности (а тогда еще не было закона об ""иноагентах"")... Так вот, если бы мы все были немножко порезче, посмелее, меньше бы боялись вот этой самой политики, которая может нанести ущерб делу, которым ты занимаешься, может быть, не было бы войны, – говорит в интервью Радио Свобода предприниматель и меценат Борис Зимин.",2023-5-27,https://www.svoboda.org/a/boris-zimin-boyusj-chto-negodyai-uydut-ot-otvetstvennosti-/32427748.html,Общество,svoboda,2023-05-27 18:02:24.495744
В Днепре завершился разбор завалов больницы. Два человека погибли,32 человека получили ранения,2023-5-27,https://www.svoboda.org/a/v-dnepre-zavershilsya-razbor-zavalov-boljnitsy-dva-cheloveka-pogibli/32430316.html,Новости,svoboda,2023-05-27 18:02:24.495745
В Псковской области взрывом повредило здание нефтепровода,Также сообщается об атаках на Белгородскую область,2023-5-27,https://www.svoboda.org/a/v-pskovskoy-oblasti-vzorvalosj-zdanie-nefteprovoda/32430297.html,Новости,svoboda,2023-05-27 18:02:24.495746
Новый стиль и стиль кремлёвский. Яков Кротов – о церкви в асфальте,"Споры о том, по какому стилю отмечать Пасху и другие праздники, ведутся в Церкви пять веков, с момента появления ""нового"", ""григорианского"" стиля. Споры эти тем более горячие, что ""григорианским"" новый стиль назван по имени папы римского Григория XIII. Отстаивание ""старого стиля"" приобретает тут характер борьбы с католичеством, 13 дней разницы превращаются в догмат, отличающий православие от ереси.



Между тем старый стиль вовсе не стар. Кто православнее Матери Божией? Кто православнее святых апостолов?! Но они ведь жили и праздновали все праздники по лунному календарю! Правда, это был ""старый лунный календарь"" – после разрушения Храма и Иерусалима в 70 году был создан ""новый стиль"", основанный только на вычислениях, а не на наблюдениях реальных фаз луны. Так что и ""юлианский календарь"" – новый стиль для верующих в Христа. И что? А ничего. Стиль и стиль. Чистая математика, ничего мистического.




Ничего мистического нет и в запрете православным праздновать Пасху в один с день с иудеями. Обычнейший антисемитизм в календарной упаковке, антисемитизм императора Константина Великого, который заявил в 325 году, что ""неприлично"" праздновать Пасху в один день с ""бешеными"", распявшими Христа. На что православная поговорка отвечает: ""Архиереи Христа распяли!"" Поговорка основывается, видимо, на иконах, где над еврейскими первосвященниками часто есть надпись ""архиереи"", совершенно верная. Но надпись пришлась по вкусу, потому что реальные архиереи то и дело такое учиняют, что равносильно распятию Христа. Впрочем, и миряне не отстают, хоть олимпиаду проводи. Христа распинает каждый, кто угнетает ближнего, лжет ближнему, оправдывает убийство ближнего.



Так вопрос о календаре стал сперва площадкой для антисемитизма, а потом площадкой для антизападничества. Сегодня ""старостильники"" есть и на Афоне среди монахов, и среди православных мирян самых разных стран. Страсти бушуют нешуточные, хотя дальше словесных боёв не заходят. Прямо наоборот с лидерами Московской патриархии. По форме – да, старостильники. Но по существу обычнейший цинизм, холодный, бесстрастный, не от сердца, а исключительно по заданию. Вот советник патриарха Кирилла Гундяева протоиерей Николай Балашов заявил, что переход на новый стиль Константинопольский патриарх предпринял, чтобы ""показать свою солидарность с ""прогрессивным"" западным человечеством"". Балашов заявил это в интервью РИА ""Новости"", возможно, письменно ответил на вопросы, либо попросил взять ""прогрессивный"" в кавычки. Может быть, отвечал устно и тогда сумел особенно саркастической интонацией подчеркнуть, что ничего прогрессивного в западном человечестве нет.



Что, Балашов антизападник? Славянофил? Да нет, хуже – он чиновник. Бездушный кремлёвский аппаратчик, которому совершенно наплевать и на прогресс, и на Запад, и на человечество, и на календарь. Человек просто выполняет задание Кремля, делает это сорок лет. Гундяев отрабатывает с 1967 года, считайте сами. Кремль изменит свою политику – будет отрабатывать иначе. Собственно, это уже и имело место в ""перестройку"", когда и Гундяев, и Балашов стали одобрять прогресс, западное человечество и демократию. Потом начальство легло на старый курс, и эти перелегли вместе с начальством.



Конечно, что-то от живой совести и у этих людей осталось. Поэтому, видимо, Балашов привёл самый обоюдоострый аргумент: ""Административные вмешательства в живую ткань церковной жизни до добра не доводят, порождая разногласия и раздоры"". Уж Московская-то патриархия хлебнула ""административного вмешательства""! Начиная с Владимира Ульянова-Ленина и до нынешнего Владимира диктатура ежедневно вмешивается в церковную жизнь. И что? Никаких раздоров! Просто церковная жизнь превратилась в церковную смерть. Никаких разногласий – сплошное единогласие, полный одобрямс. Кто не вписывался, того попросту расстреливал тот самый ""административный вмешатель"". Расстреливал, ссылал, сажал. Вот и итог: страна в асфальте и религиозная жизнь в асфальте. Что бы ни происходило в церковной жизни Украины, это происходит именно в церковной жизни. Происходящее в российских религиях происходит в музее церковных восковых фигур.



Представим невообразимое: завтра Кремль объявляет об окончании войны, выводит войска из Украины, Сирии, Грузии и т. п., выплачивает всякие контрибуции и репарации, сжигает мумию Ленина и посыпает её пеплом свою голову, а на месте мавзолея ставит копию статуи Свободы с православным крестом вместо факела и евангелием в левой руке. Да через пять минут Балашов с восторгом начнёт каяться перед Православной церковью Украины и перед Константинопольским патриархом, будет целовать западное человечество и совершать земные поклоны перед его прогрессом! Тем более что прогресс-то реально есть, и кремлёвские людоеды со своей идейной прислугой им вовсю пользуется. Не на бересте же пишут!




Хорошо, что этого не будет, потому что это было бы гадко и отвратительно. Хотя бы потому, что нет его, ""западного человечества"". Это уж Балашов проговорился: кремлёвские аппаратчики реально воспринимают себя как какое-то особое человечество. Не восточное, нет, а типа космическое, всеобщее, несравненно превосходящее ""западное"". Уже не ""русский мир"", а ""русское человечество"", ""русский космос"", ""русская вселенная"".



Когда Бог положит конец этому мыльному пузырю и как, неинтересно. Что делать верующим, которые оказались внутри мыльного пузыря кремлёвского православия? Ну, не бином Ньютона: жить по заповедям, нести крест, подставлять щёку, не лгать и не убивать, отдавать кесарю кесарево, Богу Божие, и молить Бога, чтобы не превратиться в живой труп, а если уже превратился – чтобы воскреснуть прямо здесь и сейчас, немедленно. Бог это может сделать, у Бога такой стиль, такой календарь, что, когда покаешься, тогда и Рождество, и Пасха, и Вознесение с Пятидесятницей.


Яков Кротов – историк и православный священник, ведущий рубрики ""Между верой и неверием"" на сайте Радио Свобода



Высказанные в рубрике ""Право автора"" мнения могут не отражать точку зрения редакции",2023-5-27,https://www.svoboda.org/a/novyy-stilj-i-stilj-kremlyovskiy-yakov-krotov---o-tserkvi-v-asfaljte/32428766.html,Право автора,svoboda,2023-05-27 18:02:24.495747
