TRY,source,STATUS_CODE,title,summary,date,link,type,ERROR,TIME
1,ria,200,100,0,100,100,100,,13:31.9
1,tass,200,100,97,100,100,100,,13:31.9
1,rosbalt,200,100,100,100,100,100,,13:31.9
1,ura,200,170,170,170,170,0,,13:31.9
1,mail,200,20,20,20,20,20,,13:31.9
1,regnum,200,100,100,100,100,96,,13:31.9
1,izvestia,403,,,,,,,13:31.9
1,lenta,200,200,200,200,200,200,,13:31.9
1,kp,200,200,200,200,200,200,,13:31.9
1,interfax,200,25,25,25,25,25,,13:31.9
1,vedomosti,200,200,200,200,200,190,,13:31.9
1,aif,200,301,301,301,301,301,,13:31.9
1,rg,200,100,100,100,100,0,,13:31.9
1,argumenti,200,30,30,30,30,30,,13:31.9
1,pravda,200,20,20,20,20,20,,13:31.9
1,fontanka,200,30,30,30,30,30,,13:31.9
1,rbc,200,30,30,30,30,30,,13:31.9
2,izvestia,403,,,,,,,13:31.9
3,izvestia,403,,,,,,,13:31.9
1,ria,200,100,0,100,100,100,,02:03.7
1,tass,200,100,96,100,100,100,,02:03.7
1,rosbalt,200,100,100,100,100,100,,02:03.7
1,ura,200,170,170,170,170,0,,02:03.7
1,mail,200,20,20,20,20,20,,02:03.7
1,regnum,200,100,100,100,100,97,,02:03.7
1,izvestia,403,,,,,,,02:03.7
1,lenta,200,200,200,200,200,200,,02:03.7
1,kp,200,200,200,200,200,200,,02:03.7
1,interfax,200,25,25,25,25,25,,02:03.7
1,vedomosti,200,200,200,200,200,190,,02:03.7
1,aif,200,301,301,301,301,301,,02:03.7
1,rg,200,100,100,100,100,0,,02:03.7
1,argumenti,200,30,30,30,30,30,,02:03.7
1,pravda,200,20,20,20,20,20,,02:03.7
1,fontanka,200,30,30,30,30,30,,02:03.7
1,rbc,200,30,30,30,30,30,,02:03.7
2,izvestia,403,,,,,,,02:03.7
3,izvestia,403,,,,,,,02:03.7
1,ria,200,100,0,100,100,100,,02:04.7
1,tass,200,100,98,100,100,100,,02:04.7
1,rosbalt,200,100,100,100,100,100,,02:04.7
1,ura,200,170,170,170,170,0,,02:04.7
1,mail,200,20,20,20,20,20,,02:04.7
1,regnum,200,100,100,100,100,97,,02:04.7
1,izvestia,403,,,,,,,02:04.7
1,lenta,200,200,200,200,200,200,,02:04.7
1,kp,200,200,200,200,200,200,,02:04.7
1,interfax,200,25,25,25,25,25,,02:04.7
1,vedomosti,200,200,200,200,200,190,,02:04.7
1,aif,200,301,301,301,301,301,,02:04.7
1,rg,200,100,100,100,100,0,,02:04.7
1,argumenti,200,30,30,30,30,30,,02:04.7
1,pravda,200,20,20,20,20,20,,02:04.7
1,fontanka,200,30,30,30,30,30,,02:04.7
1,rbc,200,30,30,30,30,30,,02:04.7
2,izvestia,403,,,,,,,02:04.7
