proxy_id,proxy,TRY,source,STATUS_CODE,title,summary,date,link,type,ERROR,TIME
1,socks4://178.48.68.61:4145,1,tvrain,403,,,,,,,04:24.7
1,socks4://178.48.68.61:4145,1,mediazona,403,,,,,,,04:24.7
1,socks4://178.48.68.61:4145,1,svoboda,200,20,20,20,20,20,,04:24.7
1,socks4://178.48.68.61:4145,1,currenttime,200,20,20,20,20,20,,04:24.7
1,socks4://178.48.68.61:4145,1,meduza,200,30,30,30,30,0,,04:24.7
1,socks4://178.48.68.61:4145,1,thebell,403,,,,,,,04:24.7
1,socks4://178.48.68.61:4145,1,novyagazeta,200,100,100,100,100,100,,04:24.7
1,socks4://178.48.68.61:4145,2,tvrain,403,,,,,,,04:24.7
1,socks4://178.48.68.61:4145,2,mediazona,,,,,,,"SOCKSHTTPSConnectionPool(host='zona.media', port=443): Max retries exceeded with url: /rss (Caused by NewConnectionError('<urllib3.contrib.socks.SOCKSHTTPSConnection object at 0x7f5799a99790>: Failed to establish a new connection: Connection closed unexpectedly'))",04:24.7
1,socks4://178.48.68.61:4145,2,thebell,,,,,,,"SOCKSHTTPSConnectionPool(host='thebell.io', port=443): Max retries exceeded with url: /category/news (Caused by NewConnectionError('<urllib3.contrib.socks.SOCKSHTTPSConnection object at 0x7f57996e5100>: Failed to establish a new connection: Connection closed unexpectedly'))",04:24.7
1,socks4://178.48.68.61:4145,3,tvrain,403,,,,,,,04:24.7
1,socks4://178.48.68.61:4145,3,mediazona,403,,,,,,,04:24.7
1,socks4://178.48.68.61:4145,3,thebell,403,,,,,,,04:24.7
2,socks4://58.75.126.235:4145,1,tvrain,,,,,,,"SOCKSHTTPSConnectionPool(host='tvrain.tv', port=443): Max retries exceeded with url: /export/rss/all.xml (Caused by NewConnectionError('<urllib3.contrib.socks.SOCKSHTTPSConnection object at 0x7f5799599eb0>: Failed to establish a new connection: Connection closed unexpectedly'))",04:24.7
